date,open,close,high,low,volume,code
2017-05-08,13.679,13.246,13.728,13.236,101329.0,000970
2017-05-09,13.246,13.482,13.551,13.167,116882.0,000970
2017-05-10,13.462,13.265,13.856,13.236,145459.0,000970
2017-05-11,13.295,13.688,13.738,13.167,138096.0,000970
2017-05-12,13.659,13.57,13.797,13.393,89087.0,000970
2017-05-15,13.59,13.708,13.826,13.59,73003.0,000970
2017-05-16,13.698,13.984,14.003,13.383,138232.0,000970
2017-05-17,13.984,13.885,14.112,13.826,132598.0,000970
2017-05-18,13.787,14.033,14.239,13.708,119826.0,000970
2017-05-19,13.895,13.757,14.062,13.708,98086.0,000970
2017-05-22,13.777,13.098,13.895,13.068,180137.0,000970
2017-05-23,13.049,12.645,13.147,12.596,160843.0,000970
2017-05-24,12.655,12.793,12.813,12.399,112572.0,000970
2017-05-25,12.763,12.754,12.862,12.212,139004.0,000970
2017-05-26,12.685,12.635,12.822,12.527,60688.0,000970
2017-05-31,12.754,12.616,12.881,12.576,53566.0,000970
2017-06-01,12.645,12.055,12.665,12.055,119315.0,000970
2017-06-02,11.996,12.183,12.261,11.819,63783.0,000970
2017-06-05,12.281,12.281,12.35,12.143,53673.0,000970
2017-06-06,12.301,12.301,12.321,12.114,45446.0,000970
2017-06-07,12.33,12.645,12.675,12.321,91280.0,000970
2017-06-08,12.655,12.635,12.744,12.596,54648.0,000970
2017-06-09,12.596,12.744,12.763,12.547,64988.0,000970
2017-06-12,12.753,12.505,12.753,12.347,83090.0,000970
2017-06-13,12.396,13.09,13.239,12.396,196143.0,000970
2017-06-14,13.021,13.229,13.477,13.021,160245.0,000970
2017-06-15,13.19,13.289,13.338,13.1,65400.0,000970
2017-06-16,13.219,13.279,13.477,13.18,82049.0,000970
2017-06-19,13.259,13.805,14.033,13.2,162470.0,000970
2017-06-20,14.231,14.776,15.183,14.231,662340.0,000970
2017-06-21,14.697,14.628,14.766,14.29,337965.0,000970
